movieId,genre
1,Adventure
1,Animation
1,Children
1,Comedy
1,Fantasy
2,Adventure
2,Children
2,Fantasy
3,Comedy
3,Romance
4,Comedy
4,Drama
4,Romance
5,Comedy
6,Action
6,Crime
6,Thriller
7,Comedy
7,Romance
8,Adventure
8,Children
9,Action
11,Comedy
11,Drama
11,Romance
12,Comedy
12,Horror
13,Adventure
13,Animation
13,Children
14,Drama
16,Crime
16,Drama
17,Drama
17,Romance
18,Comedy
19,Comedy
21,Comedy
21,Crime
21,Thriller
22,Crime
22,Drama
22,Horror
22,Mystery
22,Thriller
23,Action
23,Crime
23,Thriller
24,Drama
24,Sci-Fi
25,Drama
25,Romance
26,Drama
27,Children
27,Drama
28,Drama
28,Romance
29,Adventure
29,Drama
29,Fantasy
29,Mystery
29,Sci-Fi
31,Drama
32,Mystery
32,Sci-Fi
32,Thriller
34,Children
34,Drama
36,Crime
36,Drama
38,Children
38,Comedy
39,Comedy
39,Romance
41,Drama
41,War
42,Action
42,Crime
42,Drama
43,Drama
44,Action
44,Adventure
44,Fantasy
46,Drama
46,Romance
47,Mystery
47,Thriller
48,Animation
48,Children
48,Drama
48,Musical
48,Romance
49,Drama
49,Romance
52,Comedy
52,Drama
52,Romance
53,Adventure
53,Drama
54,Children
54,Comedy
55,Drama
57,Drama
58,Comedy
58,Drama
58,Romance
61,Drama
61,Thriller
62,Drama
63,Comedy
63,Crime
64,Comedy
64,Romance
65,Comedy
66,Action
66,Sci-Fi
66,Thriller
68,Comedy
68,Romance
69,Comedy
71,Action
72,Comedy
72,Drama
73,Drama
73,War
74,Drama
74,Romance
76,Action
76,Sci-Fi
76,Thriller
77,Documentary
78,Action
78,Crime
78,Drama
78,Thriller
79,Drama
79,Thriller
81,Crime
81,Drama
81,Romance
82,Comedy
82,Drama
83,Drama
83,Romance
85,Drama
85,Romance
86,Action
86,Adventure
86,Drama
87,Children
87,Comedy
88,Comedy
89,Action
89,Thriller
92,Drama
92,Horror
92,Thriller
93,Comedy
93,Horror
93,Romance
94,Comedy
94,Drama
94,Romance
95,Action
95,Adventure
95,Thriller
96,Comedy
96,Drama
97,Crime
97,Drama
99,Documentary
101,Adventure
101,Comedy
101,Crime
101,Romance
102,Comedy
103,Mystery
103,Sci-Fi
103,Thriller
104,Comedy
106,Comedy
106,Drama
107,Adventure
107,Children
107,Comedy
107,Musical
108,Documentary
111,Crime
111,Drama
111,Thriller
112,Action
112,Adventure
112,Comedy
112,Crime
113,Drama
113,Mystery
116,Documentary
117,Crime
117,Drama
118,Comedy
118,Romance
119,Comedy
121,Drama
122,Comedy
122,Romance
123,Drama
123,Mystery
123,Romance
125,Comedy
126,Adventure
126,Children
126,Fantasy
128,Documentary
129,Comedy
129,Romance
132,Thriller
137,Documentary
141,Comedy
144,Comedy
145,Action
145,Comedy
145,Crime
145,Drama
145,Thriller
146,Adventure
146,Children
147,Drama
148,Drama
149,Crime
149,Drama
149,Thriller
151,Action
151,Drama
151,Romance
151,War
152,Drama
152,Horror
153,Action
153,Adventure
153,Comedy
153,Crime
154,Drama
155,Adventure
155,Drama
155,War
156,Comedy
156,Drama
157,Comedy
157,War
158,Adventure
158,Children
159,Crime
159,Drama
159,Mystery
161,Drama
161,Thriller
161,War
162,Documentary
163,Action
163,Romance
163,Western
164,Crime
164,Film-Noir
164,Mystery
164,Thriller
166,Comedy
166,Crime
166,Drama
168,Action
168,Drama
168,Romance
169,Adventure
169,Children
169,Drama
171,Comedy
171,Drama
172,Action
172,Sci-Fi
172,Thriller
173,Action
173,Crime
173,Sci-Fi
174,Comedy
175,Drama
176,Comedy
177,Horror
178,Comedy
178,Drama
179,Drama
179,Romance
181,Action
181,Children
183,Comedy
183,Horror
183,Thriller
184,Drama
185,Action
185,Crime
185,Thriller
186,Comedy
186,Romance
187,Comedy
188,Fantasy
188,Horror
188,Mystery
189,Comedy
189,Fantasy
191,Drama
191,Romance
193,Drama
194,Comedy
194,Drama
196,Horror
196,Sci-Fi
198,Action
198,Crime
198,Drama
198,Mystery
198,Sci-Fi
198,Thriller
199,Drama
199,Musical
199,Romance
201,Drama
201,Fantasy
202,Drama
202,Romance
203,Comedy
204,Action
205,Comedy
205,Drama
206,Documentary
207,Drama
207,Romance
208,Action
208,Adventure
208,Sci-Fi
209,Drama
211,Drama
212,Adventure
212,Comedy
212,Crime
212,Mystery
213,Drama
214,Drama
214,War
215,Drama
215,Romance
216,Comedy
217,Drama
217,Thriller
218,Comedy
218,Drama
219,Drama
222,Drama
222,Romance
223,Comedy
224,Comedy
